Nº da Medida,Ementa,Situação
"622, de 9.7.2013
Publicada no DOU de 10.7.2013
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de Encargos Financeiros da União, no valor de R$ 380.000.000,00, para viabilizar o pagamento de subvenção econômica às unidades industriais produtoras de etanol combustível da Região Nordeste.","Convertida
Lei nº 12.877, de 2013"
"621, de 8.7.2013
Publicada no DOU de 9.7.2013
Exposição de Motivos
Prorrogação de prazo",Institui o Programa Mais Médicos e dá outras providências.,"Convertida
Lei nº 12.871, de 2013"
"620, de 12.6.2013
Publicada no DOU de 12.6.2013 - edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei no 12.793, de 2 de abril de 2013, para dispor sobre o financiamento de bens de consumo duráveis a beneficiários do Programa Minha Casa Minha Vida, constitui fonte adicional de recursos para a Caixa Econômica Federal, altera a Lei no 12.741, de 8 de dezembro de 2012, que dispõe sobre as medidas de esclarecimento ao consumidor, para prever prazo de aplicação das sanções previstas na Lei no 8.078, de 11 de setembro de 1990, e dá outras providências.","Convertida
Lei nº 12.868, de 2013"
"619, de 6.6.2013
Publicada no DOU de 7.6.2013
Exposição de motivos
Prorrogação de prazo","Autoriza a Companhia Nacional de Abastecimento a contratar o Banco do Brasil S.A. ou suas subsidiárias para atuar na gestão e na fiscalização de obras e serviços de engenharia relacionados à modernização, construção, ampliação ou reforma de armazéns destinados às atividades de guarda e conservação de produtos agropecuários; altera as Leis no 8.212, de 24 de julho de 1991 e no 8.213, de 24 de julho de 1991, para dispor sobre a condição de segurado especial, o Decreto-Lei nº 167, de 14 de fevereiro de 1967 e a Lei nº 10.406, de 10 de janeiro de 2002, para dispor sobre prazos do penhor rural, e as Leis nº 12.096, de 24 de novembro de 2009 e nº 12.512, de 14 de outubro de 2011; atribui força de escritura pública aos contratos de financiamento do Fundo de Terras e da Reforma Agrária, de que trata a Lei Complementar nº 93, de 4 de fevereiro de 1998, celebrados por instituições financeiras por meio de instrumentos particulares; institui o Programa Nacional de Apoio à Captação de Água de Chuva e Outras Tecnologias Sociais de Acesso à Água - Programa Cisternas; e dá outras providências.","Convertida 
Lei nº 12.873, de 2013"
"618, de 5.6.2013
Publicada no DOU de 6.6.2013
Exposição de motivos
Prorrogação de prazo","Altera a Lei no 10.552, de 13 de novembro de 2002, para dispor sobre a concessão de garantia da União a entidades controladas indiretamente pelos entes da Federação; autoriza o aumento do capital social da VALEC - Engenharia, Construções e Ferrovias S.A.; autoriza a União a renegociar condições financeiras e contratuais das operações de crédito com o Banco Nacional de Desenvolvimento Econômico e Social - BNDES que menciona; altera o cálculo da receita líquida real dos Municípios, para adequação à Lei no 10.527, de 8 de agosto de 2002; autoriza a União a conceder crédito ao BNDES, no montante de até R$ 15.000.000.000,00 (quinze bilhões de reais), em condições financeiras e contratuais que permitam o seu enquadramento como instrumento híbrido de capital e dívida ou elemento patrimonial que venha a substituí-lo na formação do patrimônio de referência; promove ações de cooperação energética com países da América Latina; e dá outras providências.","Convertida
Lei nº 12.872, de 2013"
"617, de 31.5.2013
Publicada no DOU de 31.5.2013 - edição extra
Exposição de motivos
Prorrogação de prazo",Reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS incidentes sobre a receita decorrente da prestação de serviços de transporte coletivo de passageiros nas modalidades que menciona.,"Vigência encerrada
Ato Declaratório do Congresso Nacional"
"616, de 31.5.2013
Publicada no DOU de 31.5.2013 - edição extra
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de Operações Oficiais de Crédito, no valor de R$ 2.932.125.346,00, para o fim que especifica.","Convertida
Lei nº 12.861, de 2013"
"615, de 17.5.2013
Publicada no DOU de 20.5.2013
Exposição de motivos
Prorrogação de prazo","Autoriza o pagamento de subvenção econômica aos produtores da safra 2011/2012 de cana-de-açúcar e de etanol da região Nordeste e o financiamento da renovação e implantação de canaviais com equalização da taxa de juros; dispõe sobre os arranjos de pagamento e as instituições de pagamento integrantes do Sistema de Pagamentos Brasileiro - SPB; altera a Lei no 12.783, de 11 de janeiro de 2013, para autorizar a União a emitir, sob a forma de colocação direta, em favor da Conta de Desenvolvimento Energético - CDE, títulos da dívida pública mobiliária federal; e dá outras providências.","Convertida
Lei nº 12.865, de 2013"
"614, de 14.5.2013
Publicada no DOU de 15.5.2013
Exposição de motivos
Prorrogação de prazo","Altera a Lei no 12.772, de 28 de dezembro de 2012, que dispõe sobre a estruturação do Plano de Carreiras e Cargos de Magistério Federal; altera a Lei no 11.526, de 4 de outubro de 2007; e dá outras providências.","Convertida
Lei nº 12.863, de 2013"
"613, de 7.5.2013
Publicada no DOU de 8.5.2013
Exposição de motivos
Prorrogação de prazo","Institui crédito presumido da Contribuição para o PIS/PASEP e da COFINS na venda de álcool, inclusive para fins carburantes; altera a Lei nº 10.865, de 30 de abril de 2004, e a Lei nº 11.196, de 21 de novembro de 2005, para dispor sobre incidência das referidas contribuições na importação e sobre a receita decorrente da venda no mercado interno de insumos da indústria química nacional que especifica, e dá outras providências.","Convertida
Lei nº 12.859, de 2013"
"612, de 4.4.2013
Publicada no DOU de 4.4.2013 - Edição extra
Exposição de motivos
Prorrogação de prazo","Reestrutura o modelo jurídico de organização dos recintos aduaneiros de zona secundária, altera a Lei no 10.865, de 30 de abril de 2004, e a Medida Provisória no 601, de 28 de dezembro de 2012; reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da COFINS incidentes sobre as indenizações a que se refere a Lei no 12.783, de 11 de janeiro de 2013; altera a Lei no 12.715, de 17 de setembro de 2012, para dispor sobre multa pecuniária pelo descumprimento do Programa de Incentivo à Inovação Tecnológica e Adensamento da Cadeia Produtiva de Veículos Automotores - INOVAR-AUTO; e dá outras providências.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"611, de 4.4.2013
Publicada no DOU de 4.4.2013 - Edição extra
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios das Comunicações, do Desenvolvimento Agrário, da Defesa e da Integração Nacional, no valor de R$ 3.969.200.000,00, para os fins que especifica.","Convertida
Lei nº 12.851, de 2013"
"610, de 2.4.2013
Publicada no DOU de 4.4.2013 - Edição extra
Exposição de motivos
Prorrogação de prazo","Amplia o valor do Benefício Garantia-Safra para a safra de 2011/2012, amplia o Auxílio Emergencial Financeiro, de que trata a Lei nº 10.954, de 29 de setembro de 2004, relativo aos desastres ocorridos em 2012, autoriza a distribuição de milho para venda a pequenos criadores, nos termos que especifica, altera as Leis nº 12.249, de 11 de junho de 2010 e nº 12.716, de 21 de setembro de 2012, e dá outras providências.","Convertida
Lei nº 12.844, de 2013"
"609, de 8.3.2013
Publicada no DOU de 8.3.2013 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Reduz a zero as alíquotas da Contribuição para o PIS/PASEP, da COFINS, da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação incidentes sobre a receita decorrente da venda no mercado interno e sobre a importação de produtos que compõem a cesta básica, e dá outras providências.","Convertida
Lei nº 12.839, de 2013"
"608, de 28.2.2013
Publicada no DOU de 1º.3.2013
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre crédito presumido apurado com base em créditos decorrentes de diferenças temporárias oriundos de provisões para créditos de liquidação duvidosa nas condições que estabelece e dispõe sobre os títulos de crédito e instrumentos emitidos por instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil, para composição de seu patrimônio de referência, e altera a Lei nº 12.249, de 11 de junho de 2010.","Convertida
Lei nº 12.838, de 2013"
"607, de 19.2.2013
Publicada no DOU de 20.2.2013
Exposição de Motivos
Prorrogação de prazo
Encerramento de prazo","Altera a Lei nº 10.836, de 9 de janeiro de 2004, para modificar o Benefício para Superação da Extrema Pobreza.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"606, de 18.2.2013
Publicada no DOU de 19.2.2013
Exposição de Motivos
Prorrogação de prazo","Altera as Leis nº 12.096, de 24 de novembro de 2009, para autorizar a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em projetos de infraestrutura logística direcionados a obras de rodovias e ferrovias objeto de concessão pelo Governo federal, nº 6.704, de 26 de outubro de 1979, que dispõe sobre o Seguro de Crédito à Exportação, e no 12.513, de 26 de outubro de 2011, que institui o Programa Nacional de Acesso ao Ensino Técnico e Emprego - Pronatec, para autorizar a oferta de cursos técnicos de nível médio por instituições privadas de ensino superior; e dá outras providências.","Convertida
Lei nº 12.837, de 2013"
"605, de 23.1.2013
Publicada no DOU de 24.1.2013
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 10.438, de 26 de abril de 2002, na parte em que cria a Conta de Desenvolvimento Energético e estabelece seus objetivos.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"604, de 18.1.2013
Publicada no DOU de 21.1.2013
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios do Desenvolvimento Agrário e da Integração Nacional, no valor de R$ 361.368.057,00, para os fins que especifica.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"603, de 18.1.2013
Publicada no DOU de 21.1.2013
Exposição de Motivos
Prorrogação de prazo
Encerramento de prazo","Altera a Medida Provisória nº 587, de 9 de novembro de 2012, que autoriza para a safra 2011/2012 o pagamento de valor adicional ao Benefício Garantia-Safra, de que trata a Lei no 10.420, de 10 de abril de 2002; amplia para o ano de 2012 o Auxílio Emergencial Financeiro, de que trata a Lei no 10.954, de 29 de setembro de 2004; e estabelece medidas para aquisição de milho em grãos para o atendimento ao Programa de Venda Balcão aos pequenos criadores situados nos Municípios da área de atuação da Superintendência do Desenvolvimento do Nordeste - Sudene.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"602, de 28.12.2012
Publicada no DOU de 31.12.2012
Exposição de Motivos
Prorrogação de prazo","Autoriza a prorrogação de contratos por tempo determinado no âmbito do Centro Gestor e Operacional do Sistema de Proteção da Amazônia - Censipam e do Fundo Nacional de Desenvolvimento da Educação - FNDE, e dá outras providências.","Convertida
Lei nº 12.809, de 2013"
"601, de 28.12.2012
Publicada no DOU de 28.12.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Altera as Leis nº 12.546, de 14 de dezembro de 2011, para prorrogar o Regime Especial de Reintegração de Valores Tributários para as Empresas Exportadoras - Reintegra, e para desonerar a folha de pagamentos dos setores da construção civil e varejista; nº 11.774, de 17 de setembro de 2008, que reduz as alíquotas das contribuições de que tratam os incisos I e III do caput do art.22 da Lei nº 8.212, de 24 de julho de 1991; nº 10.931, de 2 de agosto de 2004, que dispõe sobre o patrimônio de afetação de incorporações imobiliárias; nº 12.431, de 24 de junho de 2011; e nº 9.718, de 27 de novembro de 1998, para permitir às pessoas jurídicas da rede de arrecadação de receitas federais deduzir o valor da remuneração dos serviços de arrecadação da base de cálculo da Contribuição para o Financiamento da Seguridade Social - Cofins; e dá outras providências.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"600, de 28.12.2012
Publicada no DOU de 28.12.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 12.409, de 25 de maio de 2011; a Medida Provisória nº 581, de 20 de setembro de 2012, que dispõe sobre o Fundo de Desenvolvimento do Centro-Oeste - FDCO; constitui fonte adicional de recursos para ampliação de limites operacionais da Caixa Econômica Federal; altera as Leis no 12.462, de 4 de agosto de 2011, e nº 8.399, de 7 de janeiro de 1992; altera a Medida Provisória nº 12.096, de 24 de novembro de 2009; altera a Lei nº 12.663, de 5 de junho de 2012; e dá outras providências.","Convertida
Lei nº 12.833, de 2013"
"599, de 27.12.2012
Publicada no DOU de 28.12.2012
Exposição de Motivos
Prorrogação de prazo
Encerramento de prazo","Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, com o objetivo de compensar perdas de arrecadação decorrentes da redução das alíquotas nas operações e prestações interestaduais relativas ao Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação - ICMS, institui o Fundo de Desenvolvimento Regional e dá outras providências.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"598, de 27.12.2012
Publicada no DOU de 27.12.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de diversos órgãos e empresas estatais, para os fins que especifica.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"597, de 26.12.2012
Publicada no DOU de 26.12.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Dá nova redação ao § 5º do art. 3º da Lei nº 10.101, de 19 de dezembro de 2000, e dá outras providências.","Convertida
Lei nº 12.832, de 2013"
"596, de 6.12.2012
Publicada no DOU de 7.12.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios do Desenvolvimento Agrário e da Integração Nacional, no valor de R$ 573.330.080,00, para os fins que especifica.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"595, de 6.12.2012
Publicada no DOU de 7.12.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a exploração direta e indireta, pela União, de portos e instalações portuárias e sobre as atividades desempenhadas pelos operadores portuários, e dá outras providências.","Convertida
Lei nº 12.815, de 2013"
"594, de 6.12.2012
Publicada no DOU de 7.12.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 12.096, de 24 de novembro de 2009, quanto à autorização para concessão de subvenção econômica em operações de financiamento destinadas a aquisição e produção de bens de capital e a inovação tecnológica; altera a Lei nº 11.529, de 22 de outubro de 2007, quanto à concessão de subvenção econômica em operações destinadas a financiamentos a diferentes setores da economia; altera a Lei nº 12.409, de 25 de maio de 2011, quanto à concessão de subvenção econômica em financiamentos destinados a beneficiários localizados em Municípios atingidos por desastres naturais; e altera a Lei nº 12.712, de 30 de agosto de 2012, que autoriza a concessão de subvenção econômica às instituições financeiras oficiais federais nas operações de crédito para investimentos no âmbito do Fundo de Desenvolvimento da Amazônia - FDA e do Fundo de Desenvolvimento do Nordeste - FDNE.","Convertida
Lei nº 12.814, de 2013"
"593, de 5.12.2012
Publicada no DOU de 6.12.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 12.513, de 26 de outubro de 2011, que institui o Programa Nacional de Acesso ao Ensino Técnico e Emprego - Pronatec, para ampliar o rol de beneficiários e ofertantes da Bolsa-Formação Estudante; e dá outras providências.","Convertida
Lei nº 12.816, de 2013"
"592, de 3.12.2012
Publicada no DOU de 4.12.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo
Encerramento de prazo","Modifica as Leis no 9.478, de 6 de agosto de 1997, e no 12.351, de 22 de dezembro de 2010, para determinar novas regras de distribuição entre os entes da Federação dos royalties e da participação especial decorrentes da exploração de petróleo, gás natural e outros hidrocarbonetos fluidos sob o regime de concessão, e para disciplinar a destinação dos recursos do Fundo Social.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"591, de 29.11.2012
Publicada no DOU de 30.11.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Medida Provisória no 579, de 11 de setembro de 2012, que dispõe sobre as concessões de geração, transmissão e distribuição de energia elétrica, sobre a redução dos encargos setoriais, e sobre a modicidade tarifária.","Vigência encerrada
Ato Declaratório do Congresso Nacional"
"590, de 29.11.2012
Publicada no DOU de 30.11.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.836, de 9 de janeiro de 2004, para ampliar a idade limite de crianças e adolescentes que compõem as unidades familiares beneficiárias do Programa Bolsa Família elegíveis ao recebimento do Benefício para Superação da Extrema Pobreza, e dá outras providências.","Convertida
Lei nº 12.817, de 2013"
"589, de 13.11.2012
Publicada no DOU de 14.11.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o parcelamento de débitos junto à Fazenda Nacional relativos às contribuições previdenciárias de responsabilidade dos Estados, do Distrito Federal e dos Municípios.","Convertida
Lei nº 12.810, de 2013"
"588, de 12.11.2012
Publicada no DOU de 13.11.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de Operações Oficiais de Crédito, no valor de R$ 1.683.716.400,00, para o fim que especifica.","Convertida
Lei nº 12.791, de 2013"
"587, de 9.11.2012
Publicada no DOU de 12.11.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Autoriza para a safra 2011/2012 o pagamento de valor adicional ao Benefício Garantia-Safra, de que trata a Lei no 10.420, de 10 de abril de 2002, e amplia para o ano de 2012 o Auxílio Emergencial Financeiro, de que trata a Lei no 10.954, de 29 de setembro de 2004.","Convertida
Lei nº 12.806, de 2013"
"586, de 8.11.2012
Publicada no DOU de 9.11.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o apoio técnico e financeiro da União aos entes federados no âmbito do Pacto Nacional pela Alfabetização na Idade Certa, e dá outras providências.","Convertida
Lei nº 12.801, de 2013"
"585, de 23.10.2012
Publicada no DOU de 24.10.2012
Exposição de motivos
Prorrogação de prazo","Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios no exercício de 2012, com o objetivo de fomentar as exportações do País.","Convertida
Lei nº 12.789, de 2013"
"584, de 10.10.2012
Publicada no DOU de 10.10.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016.","Convertida
Lei nº 12.780, de 2013"
"583, de 10.10.2012
Publicada no DOU de 10.10.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 676.000.000,00, para os fins que especifica.","Convertida
Lei nº 12.739, de 2012"
"582, de 20.9.2012
Publicada no DOU de 21.9.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária de empresas dos setores industriais e de serviços; permite depreciação de bens de capital para apuração do Imposto de Renda; institui o Regime Especial de Incentivo ao Desenvolvimento da Infraestrutura da Indústria de Fertilizantes; altera a Lei nº 12.598, de 22 de março de 2012, quanto à abrangência do Regime Especial Tributário para a Indústria de Defesa; altera a incidência da Contribuição para o PIS/PASEP e da COFINS na comercialização da laranja; reduz o Imposto de Renda devido pelo prestador autônomo de transporte de carga; e dá outras providências.","Convertida
Lei nº 12.794, de 2013"
"581, de 20.9.2012
Publicada no DOU de 21.9.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o Fundo de Desenvolvimento do Centro-Oeste - FDCO; autoriza a União a conceder subvenção econômica às instituições financeiras oficiais federais, sob a forma de equalização de taxa de juros nas operações de crédito para investimentos no âmbito do FDCO; altera as Leis nº 7.827, de 27 de setembro de 1989, e nº 10.177, de 12 de janeiro de 2001, que tratam das operações com recursos dos Fundos Constitucionais de Financiamento do Norte, do Nordeste e do Centro-Oeste; constitui fonte adicional de recursos para ampliação de limites operacionais da Caixa Econômica Federal e do Banco do Brasil S.A., e dá outras providências.","Convertida
Lei nº 12.793, de 2013"
"580, de 14.9.2012
Publicada no DOU de 17.9.2012
Exposição de Motivos
Prorrogação de prazo","Altera as Leis nº 11.759, de 31 de julho de 2008, que autoriza a criação da empresa pública Centro Nacional de Tecnologia Eletrônica Avançada S.A. - Ceitec, e nº 11.578, de 26 de novembro de 2007, que dispõe sobre a transferência obrigatória de recursos financeiros para a execução pelos Estados, Distrito Federal e Municípios de ações do Programa de Aceleração do Crescimento - PAC, e dá outras providências.","Convertida
Lei nº 12.745, de 2012"
"579, de 11.9.2012
Publicada no DOU de 12.9.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre as concessões de geração, transmissão e distribuição de energia elétrica, sobre a redução dos encargos setoriais, sobre a modicidade tarifária, e dá outras providências.","Convertida
Lei nº 12.783, de 2013"
"578, de 31.8.2012
Publicada no DOU de 31.8.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Permite a depreciação acelerada dos veículos automóveis para transportes de mercadorias e dos vagões, locomotivas, locotratores e tênderes que menciona, previstos na Tabela de Incidência do Imposto sobre Produtos Industrializados – TIPI.","Convertida
Lei nº 12.788, de 2013"
"577, de 29.8.2012
Publicada no DOU de 30.8.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a extinção das concessões de serviço público de energia elétrica e a prestação temporária do serviço, sobre a intervenção para adequação do serviço público de energia elétrica, e dá outras providências.","Convertida
Lei nº 12.767, de 2012"
"576, de 15.8.2012
Publicada no DOU de 16.8.2012
Exposição de Motivos
Prorrogação de prazo","Altera as Leis no 10.233, de 5 de junho de 2001, e no 12.404, de 4 de maio de 2011, para modificar a denominação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV para Empresa de Planejamento e Logística S.A. - EPL, e ampliar suas competências.","Convertida
Lei nº 12.743, de 2012"
"575, de 7.8.2012
Publicada no DOU de 8.8.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 11.079, de 30 de dezembro de 2004, que institui normas gerais para licitação e contratação de parceria público-privada no âmbito da administração pública.","Convertida
Lei nº 12.766, de 2012"
"574, de 28.6.2012
Publicada no DOU de 29.6.2012 - Edição Extra
Exposição de Motivos
Prorrogação de prazo","Estabelece medidas para estimular o pagamento de débitos relativos ao Programa de Formação do Patrimônio do Servidor Público - PASEP, de responsabilidade dos Estados, do Distrito Federal, dos Municípios, e de suas autarquias e fundações; altera o art. 1º da Lei nº 10.925, de 23 de julho de 2004, para prorrogar a vigência da redução a zero das alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social – COFINS incidentes na importação e sobre a receita decorrente da venda no mercado interno das massas alimentícias que menciona.","Vigência encerrada
Ato Declaratório do Senado Federal"
"573, de 27.6.2012
Publicada no DOU de 28.6.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Justiça, da Educação, da Saúde, dos Transportes, do Planejamento, Orçamento e Gestão, do Desenvolvimento Agrário, da Defesa, da Integração Nacional e das Cidades, no valor global de R$ 6.843.701.650,00, para os fins que especifica.","Convertida
Lei nº 12.729, de 2012"
"572, de 5.6.2012
Publicada no DOU de 6.6.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério da Defesa, no valor de R$ 381.252.988,00, para os fins que especifica.","Convertida
Lei nº 12.728, de 2012"
"571, de 25.5.2012
Publicada no DOU de 28.5.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa; altera as Leis nos 6.938, de 31 de agosto de 1981, 9.393, de 19 de dezembro de 1996, e 11.428, de 22 de dezembro de 2006; revoga as Leis nos 4.771, de 15 de setembro de 1965, e 7.754, de 14 de abril de 1989, e a Medida Provisória no 2.166-67, de 24 de agosto de 2001.","Convertida
Lei nº 12.727, de 2012"
"570, de 14.5.2012
Publicada no DOU de 15.5.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.836, de 9 de janeiro de 2004; dispõe sobre o apoio financeiro da União aos Municípios e ao Distrito Federal para ampliação da oferta da educação infantil; e dá outras providências.","Convertida
Lei nº 12.722, de 2012"
"569, de 14.5.2012
Publicada no DOU de 15.5.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Defesa, da Integração Nacional e do Desenvolvimento Social e Combate à Fome, no valor global de R$ 688.497.000,00, para os fins que especifica.","Convertida
Lei nº 12.713, de 2012"
"568, de 11.5.2012
Publicada no DOU de 14.5.2012
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre servidores do Instituto Nacional de Meteorologia, da Comissão Executiva do Plano da Lavoura Cacaueira, da Agência Brasileira de Inteligência, da Comissão de Valores Mobiliários, do Instituto Evandro Chagas, do Centro Nacional de Primatas, da Fundação Oswaldo Cruz, do Instituto de Pesquisa Econômica Aplicada, do Instituto Nacional do Seguro Social, da Superintendência de Seguros Privados, do Instituto Nacional de Metrologia, Qualidade e Tecnologia, da Superintendência Nacional de Previdência Complementar, do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira, do Fundo Nacional de Desenvolvimento para a Educação, do Departamento Nacional de Obras Contra as Secas, do Serviço Exterior Brasileiro, do Instituto Brasileiro de Turismo, da Superintendência da Zona Franca de Manaus, do ex-Território de Fernando de Noronha e do Ministério da Fazenda, sobre os ocupantes de cargos de Médico do Poder Executivo, de cargos de Especialista em Infraestrutura Sênior, de cargos de Agente de Combate às Endemias e de cargos das carreiras de Magistério Superior e do Ensino Básico, Técnico e Tecnológico, de Analista de Infraestrutura, de Ciência e Tecnologia, de Tecnologia Militar, de Desenvolvimento de Políticas Sociais e de Finanças e Controle, sobre as gratificações e adicionais que menciona, e dá outras providências.","Convertida
Lei nº 12.702, de 2012"
"567, de 3.5.2012
Publicada no DOU de 3.5.2012 - Edição extra
Exposição de Motivos
Prorrogação de prazo","Altera o art. 12 da Lei no 8.177, de 1o de março de 1991, que estabelece regras para a desindexação da economia, e dá outras providências.","Convertida
Lei nº 12.703, de 2012"
"566, de 24.4.2012
Publicada no DOU de 25.4.2012
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios do Desenvolvimento Agrário e da Integração Nacional, no valor global de R$ 706.400.000,00, para os fins que especifica.","Convertida
Lei nº 12.684, de 2012"
"565, de 24.4.2012
Publicada no DOU de 25.4.2012
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 10.177, de 12 de janeiro de 2001, para autorizar o Poder Executivo a instituir linhas de crédito especiais com recursos dos Fundos Constitucionais de Financiamento do Norte, do Nordeste e do Centro-Oeste para atender aos setores produtivos rural, industrial, comercial e de serviços dos Municípios com situação de emergência ou estado de calamidade pública reconhecidos pelo Poder Executivo federal, e a Lei no 10.954, de 29 de setembro de 2004, para permitir a ampliação do valor do Auxílio Emergencial Financeiro.","Convertida
Lei nº 12.716, de 2012"
"564, de 3.4.2012
Publicada no DOU de 4.4.2012
Exposição de Motivo
Prorrogação de prazo","Altera a Lei no 11.529, de 22 de outubro de 2007, para incluir no Programa Revitaliza do BNDES os setores que especifica, dispõe sobre financiamento às exportações indiretas, autoriza o Poder Executivo a criar a Agência Brasileira Gestora de Fundos e Garantias S.A. - ABGF, autoriza a União a participar de fundos dedicados a garantir operações de comércio exterior ou projetos de infraestrutura de grande vulto, altera a Lei no 12.096, de 24 de novembro de 2009, e dá outras providências.","Convertida
Lei nº 12.712, de 2012"
"563, de 3.4.2012
Publicada no DOU de 4.4.2012
Exposição de Motivos
Prorrogação de prazo","Altera a alíquota das contribuições previdenciárias sobre a folha de salários devidas pelas empresas que especifica, institui o Programa de Incentivo à Inovação Tecnológica e Adensamento da Cadeia Produtiva de Veículos Automotores, o Regime Especial de Tributação do Programa Nacional de Banda Larga para Implantação de Redes de Telecomunicações, o Regime Especial de Incentivo a Computadores para Uso Educacional, o Programa Nacional de Apoio à Atenção Oncológica, o Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência, restabelece o Programa Um Computador por Aluno, altera o Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores, instituído pela Lei nº 11.484, de 31 de maio de 2007, e dá outras providências.","Convertida
Lei nº 12.715, de 2012"
